Scenario,Time,Baseline_Tx,Baseline_TxPerNodePerMin,Baseline_RMSE,ETM_Tx,ETM_TxPerNodePerMin,ETM_RMSE,Baseline_MAE,Baseline_RMSE_Aligned,Baseline_MAE_Aligned,Baseline_PairwiseDist_MAE,Baseline_RangeResidual_MAE,Baseline_AngleResidual_MAE,ETM_MAE,ETM_RMSE_Aligned,ETM_MAE_Aligned,ETM_PairwiseDist_MAE,ETM_RangeResidual_MAE,ETM_AngleResidual_MAE
none_moving,21,456,130.2857142857143,38.155657422308295,313,89.42857142857143,38.27887019627122,34.62959294008402,17.833014303238453,17.17625968166778,15.548976768223373,3.1361798865851704,2.329308496539486,34.713536365538786,17.880157824156612,17.077184553025727,15.086614294876535,2.8115242498116273,2.329179933424317
none_moving,22,489,133.36363636363637,38.283100399144445,321,87.54545454545456,38.516618155558014,34.75986894234945,17.83010165712322,17.153007050112784,15.21103186162915,2.959669572797545,2.3393547501581553,34.96202576361678,17.82959340855688,17.00415538812114,14.760196223794706,2.544129084393926,2.3363904081496933
none_moving,23,502,130.95652173913044,38.50478081976408,321,83.73913043478261,38.6879483023552,34.99267403425655,17.73347593951581,17.02157907486113,14.952450610037216,2.864391692266783,2.3496314606931525,35.1510782711004,17.829732456683598,16.98455321728874,14.439609569630628,2.3569807384922576,2.3408956185642604
none_moving,24,536,134,38.68534819289615,321,80.25,38.88278239379971,35.18010703277435,17.723259245058006,16.960117275990925,14.663794322648867,2.6588455148487573,2.3613029237233722,35.35608095706329,17.812579416746917,16.925621915447312,14.129067873174886,2.1104525056196755,2.3507742676007672
none_moving,25,548,131.51999999999998,38.859443054096346,321,77.04,39.07133468123911,35.35805189269323,17.705380589351442,16.92047635885276,14.33072505884329,2.329946520934096,2.3621977713712927,35.552016911447126,17.800372439721606,16.86721108719008,13.856066631574729,1.9621861076597722,2.3595805537401024
none_moving,26,582,134.30769230769232,39.030188636518915,321,74.07692307692308,39.2602616822911,35.52383341325611,17.74815021945136,16.884506796222823,14.069430881454846,2.1904664540550476,2.363783306044575,35.7462008608128,17.78907745873749,16.805274419674422,13.601952333947384,1.8726257043774637,2.368747168855323
none_moving,27,596,132.44444444444446,39.20497305765326,321,71.33333333333333,39.44806845538159,35.68043676782662,17.735711528059696,16.831724932791772,13.859871573254246,2.1725979514104004,2.364938735292093,35.9380012207601,17.779541948017346,16.74184767438799,13.388210267072804,1.7901232583743831,2.3767172000770698
none_moving,28,628,134.57142857142856,39.33276971512857,323,69.21428571428571,39.689449224732094,35.79278461347264,17.672096001378375,16.78515572791686,13.659430766782037,2.053005728972988,2.371276866457032,36.1716363808466,17.72774070426844,16.641544917421058,13.188529724964415,1.730242713917281,2.3867833041453475
none_moving,29,642,132.82758620689657,39.51343250959261,339,70.13793103448276,39.69802990649844,36.00603635764131,17.691369958350254,16.719995164330253,13.498039385638695,2.049644112494939,2.36569460742067,36.20971638027011,17.848102907331988,16.65886342532834,13.058661304112452,1.8322484133981927,2.3653571491385668
none_moving,30,675,135,39.68528937155133,355,71,39.84497402646543,36.171110565849524,17.68564489604955,16.663043296336703,13.323458462834752,2.017743463801639,2.3879004490576845,36.36949278977876,17.843648094121484,16.676033191730795,12.974324184193543,1.8632797764831526,2.4150657850351274
