Scenario,Time,Baseline_Tx,Baseline_TxPerNodePerMin,Baseline_RMSE,ETM_Tx,ETM_TxPerNodePerMin,ETM_RMSE,Baseline_MAE,Baseline_RMSE_Aligned,Baseline_MAE_Aligned,Baseline_PairwiseDist_MAE,Baseline_RangeResidual_MAE,Baseline_AngleResidual_MAE,ETM_MAE,ETM_RMSE_Aligned,ETM_MAE_Aligned,ETM_PairwiseDist_MAE,ETM_RangeResidual_MAE,ETM_AngleResidual_MAE
many_moving,12,265,132.5,37.09869927729122,309,154.49999999999997,37.16084507883969,33.67107437333213,17.755338238253017,17.24229596404505,19.436537387884016,6.168728630402097,2.271017748994384,33.68318395252139,17.69934320098359,17.21126475760532,18.90767750285756,5.597219919402401,2.2714541379625883
many_moving,13,278,128.3076923076923,37.13258218061915,309,142.6153846153846,37.25480588990597,33.679335314639516,17.77647602093172,17.27270259920966,19.007792767618714,5.7979750899071005,2.308045183628013,33.7611063354022,17.70361072774287,17.213057763586143,18.4390961001202,5.243014361720659,2.2751449051191925
many_moving,14,312,133.71428571428572,37.19789901707412,309,132.42857142857142,37.364317821773234,33.728202417950754,17.799009998804927,17.294815373690703,18.51862338445533,5.426436716829497,2.2950353187438433,33.857210466336966,17.705577320194998,17.202566499817493,17.981332986976593,4.899537616374222,2.278427229969258
many_moving,15,326,130.4,37.29883685289628,309,123.6,37.487351799561964,33.81363684027427,17.78495921680454,17.291348234282545,18.008365406601218,4.991097138293761,2.2809953514482175,33.969209953831154,17.705588047729393,17.181699449698165,17.52450017962917,4.551791966006735,2.281407339977755
many_moving,16,359,134.625,37.42617010343527,309,115.875,37.621785558391466,33.91775181558334,17.815618035899046,17.26625871305739,17.576347611157324,4.716418564413614,2.314122644616745,34.09471310362903,17.70468361298688,17.152877019105226,17.067073082927482,4.198978408262066,2.2854385406739537
many_moving,17,372,131.29411764705884,37.502484207108544,309,109.05882352941177,37.76919676104612,34.018221198465234,17.908285831664596,17.30325284222399,17.164031403363094,4.412891377964897,2.2958919280227152,34.23520268786518,17.698794463945013,17.1154862753771,16.61923701357549,3.8525861995056325,2.2915295020157873
many_moving,18,404,134.66666666666666,37.59189130767181,309,103,37.92790059291894,34.10315733648012,17.93079078910735,17.317382327724225,16.764775698177136,4.100535395735561,2.305590588088669,34.38867303396866,17.686115192680997,17.069842825553287,16.1873266276291,3.5194241207516024,2.2993590915884
many_moving,19,415,131.05263157894737,37.853389302672376,309,97.57894736842105,38.0949228058525,34.36747764466338,17.88162717559878,17.247358391595093,16.359322462101048,3.741647967491272,2.316699470673131,34.55191792609516,17.668880053353547,17.018407524881223,15.790217828806368,3.197623451936983,2.308201966252588
many_moving,20,448,134.4,38.050254190454496,309,92.7,38.26809775004774,34.571398703429594,17.886298299593452,17.21150575120593,16.012461593964797,3.4973070106834827,2.3251496107555565,34.722545298266795,17.64874390857114,16.96269945444481,15.422734107938082,2.906432452457419,2.317649459402317
many_moving,21,460,131.42857142857144,38.141346043097585,311,88.85714285714286,38.4457850655349,34.639717788780814,17.92866511637979,17.183979712394365,15.599838319545448,3.2162558381386366,2.3329973681130296,34.89870428810154,17.62695441681714,16.9036779030279,15.070572040270294,2.649855379616909,2.327454398453838
