node_count,uwb_sigma_m,n_seeds,rmse_aligned_median_m,rmse_aligned_p25_m,rmse_aligned_p75_m,mae_aligned_median_m,mae_aligned_p25_m,mae_aligned_p75_m,pairwise_dist_mae_median_m,pairwise_dist_mae_p25_m,pairwise_dist_mae_p75_m
8,0.4,5,0.13183069061871014,0.12849086414820526,0.1443297971406458,0.12630762339592083,0.11129581804080606,0.13569402412845238,0.1338939848311938,0.12668387250002172,0.16441685211553986
8,0.5,5,0.16590751328148426,0.16259781424827618,0.1968504929368033,0.16126326675853445,0.14787669386802385,0.18115518700966526,0.18830061713973706,0.14146862863545764,0.21367610141255583
8,0.6,5,0.1501496027497336,0.1357362507893051,0.25230822978349476,0.13924881558368735,0.12353400854400132,0.21864535375675617,0.1341435021092469,0.12267428664980705,0.2738683256324362
8,0.7,5,0.25735693935904047,0.24666448943321825,0.28112800212149114,0.22939390333672563,0.22594859945536727,0.2533446117135531,0.2736468384653385,0.2193415942628,0.3001382452942873
8,0.8,5,0.2741977613256464,0.24938469826977983,0.30983761549432853,0.2602085383672025,0.22177502710347835,0.2954088503573146,0.28759300552383626,0.23547230406535577,0.29417061218155893
8,0.9,5,0.26195504709849654,0.2564566839467876,0.2691571685647839,0.22479268640844613,0.22411516196455214,0.23887194890287397,0.25777750866325533,0.2427229473374497,0.27970246613155914
8,1,5,0.34758645060055254,0.2547249628865943,0.361924839035139,0.24674583787699625,0.24570622995527597,0.3138917406824758,0.2636506970127227,0.25670975893194126,0.367477077210642
8,1.5,5,0.4541390185047004,0.4260573859611496,0.4676493246136754,0.4173574839924647,0.40776552214492473,0.4320576005707173,0.41726276475394464,0.36886285448562983,0.42585508568435976
8,2,5,0.7111119262739137,0.4435461004501231,0.7830725144645708,0.6235544564375368,0.40992967841639766,0.7418798446520961,0.7341276373026534,0.4032157641927646,0.8403915646788445
8,3,5,0.9604583102011159,0.8412726175149908,0.9645578810046144,0.9098744190804806,0.7014551738156547,0.9214642553186992,0.820857973251494,0.7710812430189459,1.0812562944386372
8,4,5,1.1621461379411109,1.0107579757612402,1.5783993259702391,1.0592881745208051,0.9486404314993722,1.472475027763947,1.0535788388487939,1.0382279058634099,1.5567596918178257
8,5,5,1.6458277060552031,1.6035058535984117,1.6795105623008624,1.4956686130039178,1.4620585936350277,1.5429941814584187,1.7114610932509289,1.7110975956435654,1.763656977624824
15,0,5,0.00021324018825614864,0.0002129603099972999,0.00029191958539878107,0.00018305522232312386,0.00018180296961977884,0.0002585257632609499,0.00017801216868464073,0.0001726357560673144,0.00021841397455068444
15,0.1,5,0.027409581036860083,0.02383415866485228,0.028942542540473144,0.022787334880125378,0.021940362135832458,0.02292576647344131,0.02278077473843681,0.02033990700268177,0.02506179198073213
15,0.2,5,0.05855047884411594,0.05189813209018013,0.065360778528326,0.05333659975732171,0.04765316794074428,0.06112669253153686,0.05589978904771689,0.049499303489981474,0.06062708712639693
15,0.3,5,0.08025994543958745,0.07141816311109767,0.08710327897393642,0.07255095755288439,0.06136089788104915,0.07873677153440532,0.0730083311730602,0.06254358055567844,0.07975439633717162
15,0.4,5,0.13280291016647922,0.10107757800124045,0.1359968711883257,0.11366606306589681,0.09254208871766194,0.11398459932071342,0.11605413966828541,0.09996487473483348,0.12684381512200515
15,0.5,5,0.10796318896272623,0.10791286174888849,0.13037099254544646,0.09482160399112653,0.09473246858708184,0.11314533332857876,0.1000801164870353,0.0875176234975962,0.11986889843914346
15,0.6,5,0.16452256284724723,0.16350327623464023,0.16733662790106602,0.14535904898967808,0.13917893763731035,0.14624082575556646,0.14251813069114924,0.1422966714517247,0.15467865735004574
15,0.7,5,0.19363286709262295,0.17980837989772153,0.21401586663365346,0.1636943246756425,0.16256642083320472,0.1854487654982181,0.16398124360543262,0.1627352845872398,0.18763519200290737
15,0.8,5,0.21931906564361014,0.19853191743059703,0.22615397935716158,0.20181901362037263,0.17956489512679122,0.20770524647148397,0.20037807779908517,0.1740797588303009,0.21704023629904276
15,0.9,5,0.239763124536476,0.22362050483509777,0.2463992133620685,0.20773500358895436,0.20387696023924054,0.21820519247222178,0.21431188636314893,0.20098347234468025,0.22753747367444102
15,1,5,0.2918644207363684,0.25029838254638054,0.3037441581877326,0.24772633781425374,0.2165022866479843,0.2810623182716246,0.266848885487243,0.20863539054696037,0.2711659111528989
15,1.5,5,0.3976866165085067,0.34591490609544634,0.42884712706723443,0.3328587842790704,0.29477743893334973,0.40717739715966045,0.3674914304662209,0.3191452383986281,0.40848430577348044
15,2,5,0.5297686125460773,0.503748462569734,0.5378482489794915,0.46957609498652125,0.4379285863858496,0.5119751010801141,0.49105512092074743,0.44962585290752094,0.4937094383724336
15,3,5,0.8392987704225204,0.7676498910995727,0.8680392893767047,0.7506393296063766,0.6832297217553074,0.7666766078619027,0.7123774783266431,0.6772582819960321,0.7806230134687483
15,4,5,0.9818260735780514,0.9577332367861798,1.209176984294989,0.9043027763977689,0.861154349546809,1.0536644868646645,0.9341273002719855,0.8719223554958323,1.1439366978587204
15,5,5,1.2227610253349213,1.1745353541812409,1.406018363921943,1.0605260146063826,1.03724146827543,1.1529176899789098,1.1746013910370092,1.1296311571211177,1.2072525072395173
