node_count,uwb_sigma_m,seed,rmse_aligned_m,mae_aligned_m,pairwise_dist_mae_m
3,0.8,40214,0.39525707654307396,0.37307465179152244,0.4936455500899382
3,0.9,40214,0.43566862416317964,0.4106270469294114,0.5826866433141736
3,1,40214,0.5504390114817616,0.492138654919075,0.6645945210628893
3,1.5,40214,0.6492314883570212,0.6373869439607075,0.7601429449808847
3,2,40214,0.7189138983849087,0.6393122150994963,0.9092577391633926
3,3,40214,1.6551490672543618,1.6486563953167854,2.8405572735772537
3,4,40214,1.6313351725033125,1.4576641483305333,1.6477098855856458
3,5,40214,2.1194738650070337,1.9916300041724389,2.974115496247864
8,0,219,0.001154135132534503,0.0010323931759626303,0.0009003703919803208
8,0.1,219,0.029949335865514102,0.026040475226332252,0.03175621440263966
8,0.2,219,0.07419031705831335,0.06349533757002344,0.07463633357049848
8,0.3,219,0.056486437412235836,0.0535931474285983,0.05682068936224224
8,0.4,219,0.12851855173136773,0.12082524657757415,0.15165400686080344
8,0.5,219,0.12866065686867015,0.11052097093126136,0.10689185246813679
8,0.6,219,0.23153553677800937,0.2159859209380086,0.22054823539722138
8,0.7,219,0.22425728313916304,0.19925262418509182,0.20097473985522238
8,0.8,219,0.23176004390116095,0.2017564093954572,0.2243693325720331
8,0.9,219,0.28900403992239654,0.25400557761888615,0.2616383986638699
8,1,219,0.3341599856984479,0.2968179299185432,0.3263249362772504
8,1.5,219,0.41572970497808553,0.36787707476604303,0.32423578527663643
8,2,219,0.7537952254870913,0.6754504924952971,0.7388657573087866
8,3,219,1.6954356610689385,1.5063666426001243,1.7936211305946146
8,4,219,0.8455591391194284,0.8033707069657299,0.7687607402868218
8,5,219,1.8315744682775734,1.5216538630809568,1.6708377272264563
8,0,10219,0.0012302067041125545,0.0011693951216381422,0.0014805288093928987
8,0.1,10219,0.021944970363414033,0.019730851641519807,0.02180541376459228
8,0.2,10219,0.07281458776742745,0.06775778886543561,0.0723241653502065
8,0.3,10219,0.11576137845768174,0.10865710808388195,0.11181366761459222
8,0.4,10219,0.12710344578026378,0.1144608635319992,0.1179671397797671
8,0.5,10219,0.14550107516284871,0.12731245709509081,0.14434096536117005
8,0.6,10219,0.1409264137134211,0.12124210575283163,0.11504412206137395
8,0.7,10219,0.20172049506819062,0.18704240241415274,0.1926712762432626
8,0.8,10219,0.2962836922215054,0.28969985554663835,0.2795405689393934
8,0.9,10219,0.5609251607393215,0.516285570845351,0.5797719941959797
8,1,10219,0.2351853752073454,0.21822499591224398,0.27775873930812045
8,1.5,10219,0.6246858042611437,0.5762944240037722,0.6821205438220931
8,2,10219,0.6709148362939713,0.5748111232522772,0.6902256380060801
8,3,10219,0.8921086732504862,0.8144108374032993,0.8269243380317047
8,4,10219,1.1710794157037665,1.0280009982623726,1.1670928856552432
8,5,10219,1.629637706616774,1.4706559131049322,1.5474218160566977
8,0,20219,0.001977383050839716,0.0017361767554191674,0.0019707209157167377
8,0.1,20219,0.03371931414177472,0.030561985270706665,0.03458244106072805
8,0.2,20219,0.05887258125438842,0.051367427597357906,0.057798635114719464
8,0.3,20219,0.06798313097959886,0.06384180130962648,0.05792776630567368
8,0.4,20219,0.15484588913092573,0.1400832414461501,0.15258420352354693
8,0.5,20219,0.1765506675341611,0.16426327008972308,0.18519666965747802
8,0.6,20219,0.1730871713102425,0.15112620987155564,0.1531193581150395
8,0.7,20219,0.2621727532437135,0.2170489657246314,0.2505316511592815
8,0.8,20219,0.2885141194225863,0.25963774640527426,0.2638579439190852
8,0.9,20219,0.24827667391302483,0.21081034181854985,0.23752231611177144
8,1,20219,0.32184711240363983,0.304014932185107,0.30170566068813903
8,1.5,20219,0.5739168705061781,0.49784070600791386,0.6532303077348642
8,2,20219,0.8689337177772426,0.7702395345840538,0.927279027328323
8,3,20219,1.026203102184672,0.9497807979405422,1.0719724465579081
8,4,20219,0.8077400412974622,0.743722139784343,0.6790888471781918
8,5,20219,1.2573230762252583,1.136716853750663,1.2600199129296954
8,0,30219,0.0007370964584356377,0.0006646799924469227,0.0005480363201165897
8,0.1,30219,0.036359259359538536,0.0338005600719006,0.037005399231283605
8,0.2,30219,0.06530341280232572,0.05847874107015228,0.06408673404270167
8,0.3,30219,0.12183224345319228,0.10613007349548895,0.1371401285773903
8,0.4,30219,0.07386807443397161,0.06517152296370421,0.06558956473978254
8,0.5,30219,0.21302233942781534,0.20827622964636325,0.20101761212366268
8,0.6,30219,0.18918835454175217,0.16891961036745068,0.2020643489685279
8,0.7,30219,0.2010913924755507,0.18913840614302518,0.1982495937565681
8,0.8,30219,0.11158734467072517,0.09803587808539069,0.07848494700662235
8,0.9,30219,0.2724185334698104,0.2552761748977633,0.2958994120117523
8,1,30219,0.1836222582655954,0.17363080400170272,0.1713296702230061
8,1.5,30219,0.3285987069811265,0.3060511694973519,0.2951749854604597
8,2,30219,0.9169963664925992,0.7637265412272572,0.9457934628778465
8,3,30219,0.8138600240333692,0.6777042123862971,0.7446476273659214
8,4,30219,0.9003886484560509,0.7955450740797813,0.9643175537370012
8,5,30219,1.4748466880474655,1.277776137650494,1.3368039918492054
8,0,40219,0.0013620073710837897,0.001224451728438928,0.0010303470718841126
8,0.1,40219,0.026619309114107592,0.023747465739358598,0.02766352109608694
8,0.2,40219,0.06905027406401673,0.05747171752265155,0.053622156964763946
8,0.3,40219,0.07431282939977707,0.06603553352470427,0.07510538880937404
8,0.4,40219,0.09656932107475583,0.0885250463640313,0.1000886288062109
8,0.5,40219,0.15434147184474445,0.137014841237357,0.14979271287399434
