time_s,rmse_gps_m,rmse_kalman_m,rmse_adaptive_m,r_fixed,q_fixed,r_adaptive_init,q_adaptive_init,std,n
97,9.225765915280334,7.553688813589348,7.759866645428412,100,0.01,10,0.01,10,5
98,9.225765915280334,6.024220511547803,6.023403562735065,100,0.01,10,0.01,10,5
99,9.225765915280334,6.144023844310451,6.164939625079549,100,0.01,10,0.01,10,5
100,9.225765915280334,6.359114685573206,6.296362469402032,100,0.01,10,0.01,10,5
101,9.225765915280334,5.520023567502827,5.334315291939591,100,0.01,10,0.01,10,5
102,9.225765915280334,4.637437468364191,4.402735752538998,100,0.01,10,0.01,10,5
103,9.225765915280334,3.661499282838175,3.3020459602713568,100,0.01,10,0.01,10,5
104,9.225765915280334,3.1428227769540538,2.7363832230360225,100,0.01,10,0.01,10,5
105,9.225765915280334,2.8825029863882374,2.539175049039356,100,0.01,10,0.01,10,5
106,9.225765915280334,2.4878053706622367,2.1444384812405892,100,0.01,10,0.01,10,5
107,9.225765915280334,1.1350143460201974,0.5663950285593984,100,0.01,10,0.01,10,5
108,9.225765915280334,2.618427082230677,2.255785721113518,100,0.01,10,0.01,10,5
109,9.225765915280334,2.110319254992366,1.8093392366662684,100,0.01,10,0.01,10,5
110,9.225765915280334,2.953772482567005,2.7181123026421092,100,0.01,10,0.01,10,5
111,9.225765915280334,4.7234338813794565,4.878330082547611,100,0.01,10,0.01,10,5
112,9.225765915280334,5.774400726033591,6.024846726554276,100,0.01,10,0.01,10,5
113,9.225765915280334,5.517751455062007,5.555526020965205,100,0.01,10,0.01,10,5
114,9.225765915280334,6.741767692059152,6.900136844588552,100,0.01,10,0.01,10,5
115,9.225765915280334,6.518372677824299,6.614119871827776,100,0.01,10,0.01,10,5
116,9.225765915280334,6.134078813350071,6.2044572401493925,100,0.01,10,0.01,10,5
117,9.225765915280334,4.416806297396019,4.347582363882994,100,0.01,10,0.01,10,5
118,9.225765915280334,6.486014401553576,6.795841112264817,100,0.01,10,0.01,10,5
119,9.225765915280334,5.661835019689663,5.707974471930788,100,0.01,10,0.01,10,5
120,9.225765915280334,5.830107606268032,5.938890390094432,100,0.01,10,0.01,10,5
121,9.225765915280334,5.675755413051287,5.790523161679539,100,0.01,10,0.01,10,5
122,9.225765915280334,5.763555793487903,5.9136605758212255,100,0.01,10,0.01,10,5
123,9.225765915280334,6.183635709003748,6.381499815485234,100,0.01,10,0.01,10,5
124,9.225765915280334,6.605192633081991,6.870174344126216,100,0.01,10,0.01,10,5
125,9.225765915280334,6.519184175016742,6.722895956635495,100,0.01,10,0.01,10,5
126,9.225765915280334,5.363172868165833,5.339490748276906,100,0.01,10,0.01,10,5
127,9.225765915280334,6.077919365100301,6.1645351761794185,100,0.01,10,0.01,10,5
128,9.225765915280334,5.680347129666731,5.684805288312449,100,0.01,10,0.01,10,5
129,9.225765915280334,5.677338286926153,5.666344839352891,100,0.01,10,0.01,10,5
130,9.225765915280334,4.112844395663112,3.846836730186743,100,0.01,10,0.01,10,5
131,9.225765915280334,3.4167622332037877,3.025397501889281,100,0.01,10,0.01,10,5
132,9.225765915280334,3.4067349743522666,3.092234091967758,100,0.01,10,0.01,10,5
133,9.225765915280334,3.077836003334465,2.803928570470136,100,0.01,10,0.01,10,5
134,9.225765915280334,2.6725483970877995,2.9076411006812743,100,0.01,10,0.01,10,5
135,9.225765915280334,4.244353829017223,4.365184435571303,100,0.01,10,0.01,10,5
136,9.225765915280334,4.900118969615269,5.180979987834805,100,0.01,10,0.01,10,5
137,9.225765915280334,6.061346506026749,6.527224611608336,100,0.01,10,0.01,10,5
138,9.225765915280334,8.7665957724717,9.396262471165244,100,0.01,10,0.01,10,5
139,9.225765915280334,7.355722711217391,7.744986205796805,100,0.01,10,0.01,10,5
140,9.225765915280334,5.540779339399188,5.787714946814453,100,0.01,10,0.01,10,5
141,9.225765915280334,5.555750135935266,5.72698176753047,100,0.01,10,0.01,10,5
142,9.225765915280334,5.382221984287514,5.493192203540916,100,0.01,10,0.01,10,5
143,9.225765915280334,6.0988144743578045,6.251678668110223,100,0.01,10,0.01,10,5
144,9.225765915280334,5.116086252596484,5.161936556348448,100,0.01,10,0.01,10,5
145,9.225765915280334,3.4791460277887647,3.448534347747789,100,0.01,10,0.01,10,5
146,9.225765915280334,5.3031923008077415,5.348463443525153,100,0.01,10,0.01,10,5
147,9.225765915280334,3.578676308840333,3.4901271840421257,100,0.01,10,0.01,10,5
148,9.225765915280334,3.6064460260191136,3.488024399227733,100,0.01,10,0.01,10,5
149,9.225765915280334,1.7828788493382117,1.5246664195601138,100,0.01,10,0.01,10,5
150,9.225765915280334,3.0890167020014947,3.078316073124673,100,0.01,10,0.01,10,5
151,9.225765915280334,2.2059457898868993,2.1777727886114318,100,0.01,10,0.01,10,5
152,9.225765915280334,4.568888229164462,5.081120683978809,100,0.01,10,0.01,10,5
153,9.225765915280334,3.9447675904922748,4.481010693057506,100,0.01,10,0.01,10,5
154,9.225765915280334,3.036175445396657,3.216176920219241,100,0.01,10,0.01,10,5
155,9.225765915280334,3.5939879205323773,3.9958197544773095,100,0.01,10,0.01,10,5
156,9.225765915280334,4.9995383946620935,5.52543084235232,100,0.01,10,0.01,10,5
157,9.225765915280334,4.341949650164595,4.708976042216874,100,0.01,10,0.01,10,5
158,9.225765915280334,5.511712979476451,5.949750971045451,100,0.01,10,0.01,10,5
159,9.225765915280334,5.255269520284497,5.581091932872474,100,0.01,10,0.01,10,5
160,9.225765915280334,3.9361702188026224,4.007896901384661,100,0.01,10,0.01,10,5
161,9.225765915280334,6.94778879408725,7.375349978862731,100,0.01,10,0.01,10,5
162,9.225765915280334,2.6429598685211446,2.4710165342593156,100,0.01,10,0.01,10,5
163,9.225765915280334,0.48136375737881,0.3848330346569743,100,0.01,10,0.01,10,5
164,9.225765915280334,1.433945342054643,1.4514787580944832,100,0.01,10,0.01,10,5
165,9.225765915280334,1.745734903818037,1.5302047870039852,100,0.01,10,0.01,10,5
166,9.225765915280334,3.1575217946383476,2.888633784827002,100,0.01,10,0.01,10,5
167,9.225765915280334,4.358787573227734,4.204291721116113,100,0.01,10,0.01,10,5
168,9.225765915280334,4.501301735289212,4.384953682439184,100,0.01,10,0.01,10,5
169,9.225765915280334,5.065964452269842,5.0778050384824365,100,0.01,10,0.01,10,5
170,9.225765915280334,4.8855344778343,4.893066258450736,100,0.01,10,0.01,10,5
171,9.225765915280334,6.175056545340881,6.216026562306622,100,0.01,10,0.01,10,5
172,9.225765915280334,7.395936637903507,7.511259306831117,100,0.01,10,0.01,10,5
173,9.225765915280334,6.069327123820458,6.0471517722047405,100,0.01,10,0.01,10,5
174,9.225765915280334,5.014821983513499,4.896261896678217,100,0.01,10,0.01,10,5
175,9.225765915280334,6.918346209928853,6.961327390705912,100,0.01,10,0.01,10,5
176,9.225765915280334,5.2662625008698765,5.170229174318363,100,0.01,10,0.01,10,5
177,9.225765915280334,6.357306598534393,6.357857372979078,100,0.01,10,0.01,10,5
178,9.225765915280334,5.502049334274006,5.423924099545797,100,0.01,10,0.01,10,5
179,9.225765915280334,4.652179980281419,4.500578815494259,100,0.01,10,0.01,10,5
180,9.225765915280334,3.906676450645945,3.8263611280978482,100,0.01,10,0.01,10,5
181,9.225765915280334,7.1574413451257,7.356785513286397,100,0.01,10,0.01,10,5
182,9.225765915280334,7.898422399891287,8.182120466192327,100,0.01,10,0.01,10,5
183,9.225765915280334,5.0092017588079925,5.063480887350559,100,0.01,10,0.01,10,5
184,9.225765915280334,5.119737448612643,5.174307439534632,100,0.01,10,0.01,10,5
185,9.225765915280334,5.602791935492466,5.6813107092924735,100,0.01,10,0.01,10,5
186,9.225765915280334,3.4255645173137066,3.2831834818124412,100,0.01,10,0.01,10,5
187,9.225765915280334,4.043086372926671,4.036241969570929,100,0.01,10,0.01,10,5
188,9.225765915280334,2.400094557890052,2.0720846050716917,100,0.01,10,0.01,10,5
189,9.225765915280334,1.4183672303774961,1.037130237419562,100,0.01,10,0.01,10,5
190,9.225765915280334,0.24670261526779746,0.5794092387149958,100,0.01,10,0.01,10,5
191,9.225765915280334,1.7629389928394266,2.1539424517712598,100,0.01,10,0.01,10,5
192,9.225765915280334,2.854546476073906,3.322011170857702,100,0.01,10,0.01,10,5
193,9.225765915280334,1.448325283648304,1.5855275945326948,100,0.01,10,0.01,10,5
194,9.225765915280334,2.9311051781128143,3.422923170697949,100,0.01,10,0.01,10,5
195,9.225765915280334,4.476320222567571,5.016730112384034,100,0.01,10,0.01,10,5
196,9.225765915280334,3.7247802367210765,4.16559142298237,100,0.01,10,0.01,10,5
197,9.225765915280334,2.9815824838776765,3.3979710112318844,100,0.01,10,0.01,10,5
198,9.225765915280334,3.2877778978713907,3.6832285273860896,100,0.01,10,0.01,10,5
199,9.225765915280334,1.8294710396668694,2.0204258773271264,100,0.01,10,0.01,10,5
200,9.225765915280334,1.3858082052432255,1.5351340193111567,100,0.01,10,0.01,10,5
201,9.225765915280334,3.410308067222294,3.7435421376994986,100,0.01,10,0.01,10,5
202,9.225765915280334,1.872959109950736,2.0845614120250175,100,0.01,10,0.01,10,5
203,9.225765915280334,3.1038439915800136,3.422076026300205,100,0.01,10,0.01,10,5
204,9.225765915280334,5.744941619638071,6.274791034846778,100,0.01,10,0.01,10,5
205,9.225765915280334,7.007277287343781,7.607712394078389,100,0.01,10,0.01,10,5
206,9.225765915280334,7.206546232966688,7.725425213591164,100,0.01,10,0.01,10,5
207,9.225765915280334,7.825842025729598,8.36875647035143,100,0.01,10,0.01,10,5
208,9.225765915280334,6.984452183936718,7.419304437193852,100,0.01,10,0.01,10,5
209,9.225765915280334,7.78939987217576,8.215197544254481,100,0.01,10,0.01,10,5
210,9.225765915280334,8.878678870986747,9.333177670225973,100,0.01,10,0.01,10,5
211,9.225765915280334,8.704113389769402,9.130542350306966,100,0.01,10,0.01,10,5
212,9.225765915280334,6.983070569706774,7.2427218325711,100,0.01,10,0.01,10,5
213,9.225765915280334,5.068103080927885,5.12400675291863,100,0.01,10,0.01,10,5
214,9.225765915280334,2.87169969957851,2.729863898002206,100,0.01,10,0.01,10,5
215,9.225765915280334,2.6110465485543535,2.5983924453193605,100,0.01,10,0.01,10,5
216,9.225765915280334,2.446795586150136,2.79902980022595,100,0.01,10,0.01,10,5
217,9.225765915280334,2.8874638371005186,3.2801258238540627,100,0.01,10,0.01,10,5
218,9.225765915280334,2.2390801475085746,2.5266908895360194,100,0.01,10,0.01,10,5
219,9.225765915280334,2.3854529526938304,2.7971306449491533,100,0.01,10,0.01,10,5
220,9.225765915280334,3.3790111959999045,3.8815672725069645,100,0.01,10,0.01,10,5
221,9.225765915280334,3.276832928067255,3.729918854115742,100,0.01,10,0.01,10,5
222,9.225765915280334,2.3394048438297608,2.683389105370897,100,0.01,10,0.01,10,5
223,9.225765915280334,3.0510789637002436,3.3987114566103855,100,0.01,10,0.01,10,5
224,9.225765915280334,4.2184843196537996,4.628974021016614,100,0.01,10,0.01,10,5
225,9.225765915280334,4.325250051069728,4.7089652386783944,100,0.01,10,0.01,10,5
226,9.225765915280334,4.304799633641856,4.631337595761551,100,0.01,10,0.01,10,5
227,9.225765915280334,6.496753938872206,6.954510641869492,100,0.01,10,0.01,10,5
228,9.225765915280334,7.999631187158967,8.506140208662648,100,0.01,10,0.01,10,5
229,9.225765915280334,8.537596837659033,8.99826405387482,100,0.01,10,0.01,10,5
230,9.225765915280334,9.193680453960166,9.632762104939223,100,0.01,10,0.01,10,5
231,9.225765915280334,6.131527102094345,6.24511787298017,100,0.01,10,0.01,10,5
232,9.225765915280334,5.248611226300009,5.286792445732944,100,0.01,10,0.01,10,5
233,9.225765915280334,6.00911678098632,6.070048262444717,100,0.01,10,0.01,10,5
234,9.225765915280334,5.704653438507287,5.783841024401964,100,0.01,10,0.01,10,5
235,9.225765915280334,7.674430269011477,7.939666633617744,100,0.01,10,0.01,10,5
236,9.225765915280334,7.74071045525026,7.972926383288825,100,0.01,10,0.01,10,5
237,9.225765915280334,4.893342204843582,4.771554152113024,100,0.01,10,0.01,10,5
238,9.225765915280334,5.924673849414116,5.833765221864106,100,0.01,10,0.01,10,5
239,9.225765915280334,5.620659871020027,5.545212332393202,100,0.01,10,0.01,10,5
240,9.225765915280334,6.5783458822683745,6.4993251264640755,100,0.01,10,0.01,10,5
241,9.225765915280334,4.465860776687004,4.257017588429879,100,0.01,10,0.01,10,5
242,9.225765915280334,3.8871986349042618,3.6479633937210467,100,0.01,10,0.01,10,5
243,9.225765915280334,2.650764154784634,2.3755775623586994,100,0.01,10,0.01,10,5
244,9.225765915280334,4.387522292162751,4.214437122561952,100,0.01,10,0.01,10,5
245,9.225765915280334,4.188320829524638,4.061338475043062,100,0.01,10,0.01,10,5
246,9.225765915280334,4.123023796803022,3.9824451096505493,100,0.01,10,0.01,10,5
247,9.225765915280334,7.149314884483982,7.1415638283839655,100,0.01,10,0.01,10,5
248,9.225765915280334,4.979475545656143,4.870955772434305,100,0.01,10,0.01,10,5
249,9.225765915280334,1.3791241215831684,1.132767911977328,100,0.01,10,0.01,10,5
250,9.225765915280334,1.103684153040263,1.4331576624787095,100,0.01,10,0.01,10,5
251,9.225765915280334,1.8311394434729749,2.10085602241675,100,0.01,10,0.01,10,5
252,9.225765915280334,2.1694936701172334,2.459755298680212,100,0.01,10,0.01,10,5
253,9.225765915280334,4.526641111095504,4.808437182106284,100,0.01,10,0.01,10,5
254,9.225765915280334,5.7096719541233005,5.945219377123225,100,0.01,10,0.01,10,5
255,9.225765915280334,6.4705089215177685,6.805930847711721,100,0.01,10,0.01,10,5
256,9.225765915280334,6.601912155748874,6.890589639371063,100,0.01,10,0.01,10,5
257,9.225765915280334,5.115617506686765,5.319870241226794,100,0.01,10,0.01,10,5
258,9.225765915280334,5.350904240750179,5.5949757065663555,100,0.01,10,0.01,10,5
259,9.225765915280334,3.5362872267987746,3.608377172817051,100,0.01,10,0.01,10,5
260,9.225765915280334,2.0941880022203887,1.976731348568439,100,0.01,10,0.01,10,5
261,9.225765915280334,1.9849159782995558,1.805919272648549,100,0.01,10,0.01,10,5
262,9.225765915280334,0.6710671905200618,0.9393554101964848,100,0.01,10,0.01,10,5
263,9.225765915280334,2.1603635215550447,2.668686634063644,100,0.01,10,0.01,10,5
264,9.225765915280334,4.194562183366136,4.272876960754926,100,0.01,10,0.01,10,5
265,9.225765915280334,1.557443573275146,2.0022667102869334,100,0.01,10,0.01,10,5
266,9.225765915280334,0.9117516416263235,0.9959997627529815,100,0.01,10,0.01,10,5
267,9.225765915280334,1.3433162296689398,1.4951742741528606,100,0.01,10,0.01,10,5
268,9.225765915280334,0.8277837138975105,0.8899473908274933,100,0.01,10,0.01,10,5
269,9.225765915280334,2.2615121997179393,2.6385988668157396,100,0.01,10,0.01,10,5
270,9.225765915280334,3.7074472447613362,4.187145028917385,100,0.01,10,0.01,10,5
271,9.225765915280334,4.470548111167114,4.934510395260039,100,0.01,10,0.01,10,5
272,9.225765915280334,5.574321092978718,5.992326360529438,100,0.01,10,0.01,10,5
