scenario,noise_sigma,time_s,baseline_tx_total,baseline_tx_per_node_per_min,baseline_rmse_aligned_m,baseline_mae_aligned_m,icum_tx_total,icum_tx_per_node_per_min,icum_rmse_aligned_m,icum_mae_aligned_m
none_moving,0,101,6139,364.6930693069307,9.849578407786802e-11,6.215872672018247e-11,540,32.07920792079208,0.15429240815114614,0.0981033284354115
none_moving,0,102,6200,364.70588235294116,3.891254160510007e-11,2.4320097731068246e-11,540,31.764705882352942,0.15436978643027166,0.09815315898625801
none_moving,0,103,6261,364.71844660194176,4.247277687775997e-11,2.6850306968855773e-11,540,31.45631067961165,0.1543852621041217,0.09816312509717515
none_moving,0,104,6322,364.7307692307692,4.8056030351297605e-11,3.029060117654197e-11,540,31.153846153846153,0.15438835723961286,0.09816511831938926
none_moving,0,105,6383,364.74285714285713,8.578249012283624e-12,5.204318484572677e-12,540,30.857142857142858,0.1543889762667396,0.09816551696383202
none_moving,0,106,6444,364.75471698113205,2.9428874305620855e-11,1.8587822411395622e-11,540,30.566037735849058,0.15438910007216616,0.09816559669272092
none_moving,0,107,6505,364.7663551401869,1.9392588754884612e-11,1.2194963281934087e-11,540,30.280373831775698,0.1543891248332513,0.09816561263850004
none_moving,0,108,6566,364.77777777777777,8.319171867731192e-12,5.264277867279779e-12,540,30,0.15438912978546812,0.09816561582765441
none_moving,0,109,6627,364.7889908256881,1.6584726764077065e-11,1.0467105632783305e-11,540,29.724770642201836,0.1543891307759124,0.09816561646548669
none_moving,0,110,6688,364.8,5.8285222352299114e-12,3.6350214805504207e-12,540,29.454545454545457,0.15438913097400092,0.09816561659305179
none_moving,0,111,6749,364.8108108108108,7.611105780046806e-12,4.812229150730858e-12,546,29.513513513513512,0.15438913101361845,0.09816561661856454
none_moving,0,112,6810,364.82142857142856,7.872004220245707e-12,4.9619941950991996e-12,563,30.160714285714285,0.09032057063135208,0.05684577520214038
none_moving,0,113,6871,364.83185840707966,1.3893338701895644e-12,8.538412625945683e-13,563,29.893805309734514,0.13918785358542046,0.08792825269642494
none_moving,0,114,6932,364.8421052631579,5.075185640018488e-12,3.2062719948612565e-12,563,29.63157894736842,0.14896528766012687,0.09417538154682631
none_moving,0,115,6993,364.85217391304343,3.062545600676757e-12,1.9257422754616366e-12,563,29.373913043478257,0.15092087512227356,0.09542482791526344
none_moving,0,116,7054,364.8620689655172,1.5786962542995105e-12,1.0014419756550896e-12,563,29.120689655172413,0.15131199636133005,0.09567471798294226
none_moving,0,117,7115,364.87179487179486,2.7813058541694156e-12,1.7570499252071476e-12,563,28.871794871794872,0.1513902207569525,0.09572469602802278
none_moving,0,118,7176,364.8813559322034,8.606590041027325e-13,5.365668922289788e-13,563,28.627118644067796,0.151405865641973,0.09573469163829905
none_moving,0,119,7237,364.890756302521,1.3533796268268696e-12,8.572083350501674e-13,563,28.386554621848738,0.15140899461921303,0.0957366907604047
none_moving,0,120,7298,364.9,1.2843529520087168e-12,8.106257529016271e-13,563,28.15,0.15140962041467088,0.09573709058482856
none_moving,0,121,7359,364.90909090909093,2.476373000817919e-13,1.5598194597942815e-13,563,27.917355371900825,0.15140974557376283,0.09573717054971281
none_moving,0,122,7420,364.91803278688525,8.706365504705074e-13,5.525345244545463e-13,563,27.688524590163933,0.15140977060558086,0.09573718654269045
none_moving,0,123,7481,364.92682926829275,4.806036755980354e-13,3.042328959988506e-13,563,27.463414634146343,0.15140977561194432,0.0957371897412849
none_moving,0,124,7542,364.93548387096774,2.962355318623554e-13,1.8936054546801955e-13,563,27.241935483870964,0.15140977661321695,0.09573719038100437
none_moving,0,125,7603,364.94399999999996,4.645554373794828e-13,2.947578475394686e-13,563,27.023999999999997,0.15140977681347184,0.09573719050894873
none_moving,0,126,7664,364.9523809523809,1.256733232767793e-13,7.903232706731357e-14,569,27.095238095238095,0.15140977685352267,0.09573719053453744
none_moving,0,127,7725,364.96062992125985,2.392456584880659e-13,1.5275469148687493e-13,586,27.68503937007874,0.0919798531656576,0.05808287152974937
none_moving,0,128,7786,364.96875,2.0746999991066636e-13,1.334637630387543e-13,586,27.46875,0.14062859133372388,0.08888417007233682
none_moving,0,129,7847,364.9767441860466,4.760503763803704e-14,3.231914370340016e-14,586,27.255813953488374,0.1503588983088622,0.09506172427776069
none_moving,0,130,7908,364.9846153846154,1.4845550915302397e-13,9.573417075928981e-14,586,27.04615384615385,0.1523049677775277,0.0962972239334903
none_moving,0,131,7969,364.99236641221376,7.447893738053135e-14,4.859379875269802e-14,586,26.839694656488554,0.15269418192519982,0.09654432340689595
none_moving,0,132,8030,364.99999999999994,5.448741154431249e-14,3.599106437505682e-14,586,26.636363636363633,0.15277202476438412,0.09659374328319442
none_moving,0,133,8091,365.0075187969925,7.781730505965914e-14,5.0625343701797174e-14,586,26.43609022556391,0.15278759333260294,0.09660362725771891
none_moving,0,134,8152,365.01492537313436,1.8539328369841094e-14,1.389143683078237e-14,586,26.238805970149254,0.1527907070462623,0.096605604052594
none_moving,0,135,8213,365.0222222222222,4.169049331050732e-14,2.904468772129371e-14,586,26.044444444444444,0.1527913297889946,0.09660599941156808
none_moving,0,136,8274,365.02941176470586,3.3992991247722494e-14,2.328202147858134e-14,586,25.85294117647059,0.1527914543375403,0.09660607848336214
none_moving,0,137,8335,365.036496350365,1.013068624374744e-14,7.768178148165013e-15,586,25.66423357664234,0.15279147924725003,0.09660609429772124
none_moving,0,138,8396,365.0434782608696,2.4713075745890217e-14,1.7222373868383193e-14,586,25.47826086956522,0.15279148422919187,0.09660609746059255
none_moving,0,139,8457,365.0503597122302,1.1883017379208074e-14,8.531931180528449e-15,586,25.294964028776977,0.15279148522558014,0.09660609809316764
none_moving,0,140,8518,365.0571428571428,1.0621069129169845e-14,7.82610117465031e-15,586,25.114285714285714,0.15279148542485838,0.0966060982196822
none_moving,0,141,8579,365.063829787234,1.2158640287401286e-14,8.794687049049546e-15,592,25.19148936170213,0.15279148546471358,0.09660609824498516
none_moving,0,142,8640,365.07042253521126,5.254534392573277e-15,4.9098490836052774e-15,609,25.732394366197184,0.0911063768055457,0.05742447353729898
none_moving,0,143,8701,365.0769230769231,8.743032752764687e-15,7.412860167044508e-15,609,25.552447552447553,0.1398893134666694,0.08826678101214755
none_moving,0,144,8762,365.08333333333337,5.9514581947975935e-15,5.012585405636632e-15,609,25.375,0.14964647339599405,0.09444592231646312
none_moving,0,145,8823,365.0896551724138,3.840794049104029e-15,2.9847725424993134e-15,609,25.2,0.15159792451106285,0.09568176441811474
none_moving,0,146,8884,365.09589041095893,5.817399146868075e-15,4.631167532770129e-15,609,25.027397260273975,0.15198821548104627,0.09592893338773055
none_moving,0,147,8945,365.1020408163265,3.618714001778642e-15,2.5604786846097296e-15,609,24.857142857142854,0.15206627370478792,0.09597836720359389
