time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
250,22.263598619627594,21.942348581864902,22.546417189468414,100,1,400,0.01,20,5
251,22.263598619627594,21.90918089476202,22.539730483165208,100,1,400,0.01,20,5
252,22.263598619627594,21.738632219221717,22.522822090282006,100,1,400,0.01,20,5
253,22.263598619627594,21.738681979892007,22.517275110221867,100,1,400,0.01,20,5
254,22.263598619627594,21.95497714440031,22.52769947698361,100,1,400,0.01,20,5
255,22.263598619627594,22.108133143169773,22.53490864341366,100,1,400,0.01,20,5
256,22.263598619627594,22.216546420763258,22.539815208369596,100,1,400,0.01,20,5
257,22.263598619627594,22.051502278458297,22.525373588280843,100,1,400,0.01,20,5
258,22.263598619627594,22.037302373233906,22.520718049011446,100,1,400,0.01,20,5
259,22.263598619627594,22.037278053751443,22.517524465657832,100,1,400,0.01,20,5
260,22.263598619627594,22.159358831639775,22.5231524604804,100,1,400,0.01,20,5
261,22.263598619627594,22.157560989588337,22.520557008405216,100,1,400,0.01,20,5
262,22.263598619627594,22.170470894540166,22.518900724288535,100,1,400,0.01,20,5
263,22.263598619627594,22.225845963611487,22.520418932998567,100,1,400,0.01,20,5
264,22.263598619627594,22.078970672252115,22.507893792920676,100,1,400,0.01,20,5
265,22.263598619627594,22.213420486822237,22.51458888569762,100,1,400,0.01,20,5
266,22.263598619627594,22.243332595633678,22.51427354096452,100,1,400,0.01,20,5
267,22.263598619627594,22.279527508372794,22.515048501885694,100,1,400,0.01,20,5
268,22.263598619627594,22.22738794886683,22.509680281388235,100,1,400,0.01,20,5
269,22.263598619627594,22.197054651941585,22.50577365710275,100,1,400,0.01,20,5
270,22.263598619627594,22.123315967192145,22.49857800127877,100,1,400,0.01,20,5
271,22.263598619627594,22.229609196267898,22.503286995002988,100,1,400,0.01,20,5
272,22.263598619627594,22.080608361480877,22.491072542261815,100,1,400,0.01,20,5
273,22.263598619627594,21.978788903481547,22.481182739565458,100,1,400,0.01,20,5
274,22.263598619627594,22.192052074117875,22.492894870718196,100,1,400,0.01,20,5
275,22.263598619627594,21.994351306446028,22.476884019462624,100,1,400,0.01,20,5
276,22.263598619627594,22.13903944922039,22.483848390756407,100,1,400,0.01,20,5
277,22.263598619627594,22.239860699251178,22.488637204265302,100,1,400,0.01,20,5
278,22.263598619627594,22.240452356960805,22.48702940243447,100,1,400,0.01,20,5
279,22.263598619627594,22.550619063880248,22.507119175813923,100,1,400,0.01,20,5
280,22.263598619627594,22.61471066386923,22.5118739052546,100,1,400,0.01,20,5
281,22.263598619627594,22.593412534762635,22.51102854440529,100,1,400,0.01,20,5
282,22.263598619627594,22.46940194666131,22.502967605397554,100,1,400,0.01,20,5
283,22.263598619627594,22.386727909121763,22.49702267514129,100,1,400,0.01,20,5
284,22.263598619627594,22.545498759051224,22.507226822075108,100,1,400,0.01,20,5
285,22.263598619627594,22.483791239579073,22.50303774171571,100,1,400,0.01,20,5
286,22.263598619627594,22.463434449649927,22.50131247933531,100,1,400,0.01,20,5
287,22.263598619627594,22.305812896346637,22.49025091948734,100,1,400,0.01,20,5
288,22.263598619627594,22.37837157512127,22.49392933286803,100,1,400,0.01,20,5
289,22.263598619627594,22.31688107743318,22.48892692592138,100,1,400,0.01,20,5
290,22.263598619627594,22.28473445233758,22.485843306341902,100,1,400,0.01,20,5
291,22.263598619627594,22.512301206516003,22.499887969066055,100,1,400,0.01,20,5
292,22.263598619627594,22.57441718012684,22.504288237915144,100,1,400,0.01,20,5
293,22.263598619627594,22.54345327107191,22.502559864607125,100,1,400,0.01,20,5
294,22.263598619627594,22.44431652344723,22.496124275945498,100,1,400,0.01,20,5
295,22.263598619627594,22.527449463050658,22.501355537278165,100,1,400,0.01,20,5
296,22.263598619627594,22.559095784303125,22.50372258674588,100,1,400,0.01,20,5
297,22.263598619627594,22.413673472803332,22.494205909080062,100,1,400,0.01,20,5
298,22.263598619627594,22.489532004587694,22.498694534703528,100,1,400,0.01,20,5
299,22.263598619627594,22.373752965633543,22.49085690396646,100,1,400,0.01,20,5
300,22.263598619627594,22.445261011206764,22.4949596639097,100,1,400,0.01,20,5
301,22.263598619627594,22.582757201917946,22.503934498877854,100,1,400,0.01,20,5
302,22.263598619627594,22.682762020588353,22.511228137297543,100,1,400,0.01,20,5
303,22.263598619627594,22.68161492694911,22.512242474372144,100,1,400,0.01,20,5
304,22.263598619627594,22.60403298556021,22.508127007203406,100,1,400,0.01,20,5
305,22.263598619627594,22.750553496936032,22.51852556397458,100,1,400,0.01,20,5
306,22.263598619627594,22.674972453377414,22.51495884769911,100,1,400,0.01,20,5
307,22.263598619627594,22.7009074517251,22.517690850496027,100,1,400,0.01,20,5
308,22.263598619627594,22.765717117007092,22.523149805385337,100,1,400,0.01,20,5
309,22.263598619627594,22.733210658605298,22.52251347315006,100,1,400,0.01,20,5
310,22.263598619627594,22.878831236420716,22.533500184779697,100,1,400,0.01,20,5
311,22.263598619627594,22.681924363836494,22.52264126019105,100,1,400,0.01,20,5
312,22.263598619627594,22.544935379548306,22.514549444072873,100,1,400,0.01,20,5
313,22.263598619627594,22.600248373116386,22.51841009503696,100,1,400,0.01,20,5
314,22.263598619627594,22.53149397525828,22.514361074880288,100,1,400,0.01,20,5
315,22.263598619627594,22.661051646614,22.5229911723383,100,1,400,0.01,20,5
316,22.263598619627594,22.558979503327674,22.51719692669671,100,1,400,0.01,20,5
317,22.263598619627594,22.42334027488952,22.508573008327755,100,1,400,0.01,20,5
318,22.263598619627594,22.257475609350674,22.497191660136618,100,1,400,0.01,20,5
319,22.263598619627594,22.14668829398737,22.488469993719058,100,1,400,0.01,20,5
320,22.263598619627594,22.139893086541786,22.48590995042932,100,1,400,0.01,20,5
321,22.263598619627594,22.30288116617264,22.494378075520792,100,1,400,0.01,20,5
322,22.263598619627594,22.19027052487748,22.485863912512848,100,1,400,0.01,20,5
323,22.263598619627594,22.267146314989834,22.48902792978868,100,1,400,0.01,20,5
324,22.263598619627594,22.073509571716997,22.475114479889807,100,1,400,0.01,20,5
325,22.263598619627594,22.147680157066095,22.47738117007829,100,1,400,0.01,20,5
326,22.263598619627594,22.22853924309739,22.48047732369217,100,1,400,0.01,20,5
327,22.263598619627594,22.332951425311006,22.48581209907616,100,1,400,0.01,20,5
328,22.263598619627594,22.31307239737203,22.483583488868664,100,1,400,0.01,20,5
329,22.263598619627594,22.362742716978822,22.48574458642314,100,1,400,0.01,20,5
330,22.263598619627594,22.28278426970061,22.47985612640316,100,1,400,0.01,20,5
331,22.263598619627594,22.34908136321693,22.482896414776476,100,1,400,0.01,20,5
332,22.263598619627594,22.312771677406698,22.479760887729398,100,1,400,0.01,20,5
333,22.263598619627594,22.438499882839416,22.48672656170914,100,1,400,0.01,20,5
334,22.263598619627594,22.58316137933481,22.495709785754595,100,1,400,0.01,20,5
335,22.263598619627594,22.639713981628162,22.49983416388327,100,1,400,0.01,20,5
336,22.263598619627594,22.66668093712088,22.502368018365285,100,1,400,0.01,20,5
