scenario,time_s,node_count,tx_per_node_per_min,rmse_m
few_moving,103,5,0,21.935897327261827
few_moving,104,5,0,21.935975134395296
few_moving,105,5,0,21.936043258168766
few_moving,106,5,24,21.936101519111585
few_moving,107,5,0,21.93615053547615
few_moving,108,5,0,21.936191289427075
few_moving,109,5,0,21.936224878731743
few_moving,110,5,72,21.936126591656883
few_moving,111,5,24,21.93605114435501
few_moving,112,5,24,21.93579472341047
few_moving,113,5,0,21.935658772775948
few_moving,114,5,0,21.935594279471786
few_moving,115,5,0,21.93557101148779
few_moving,116,5,24,21.93557052465253
few_moving,117,5,0,21.935581736338605
few_moving,118,5,0,21.93559813030154
few_moving,119,5,0,21.935615997210437
few_moving,120,5,0,21.935633331863063
few_moving,121,5,108,21.940967654305496
few_moving,122,5,108,21.948887479552063
few_moving,123,5,108,21.959134761123497
few_moving,124,5,204,22.487926090269283
few_moving,125,5,204,22.35897698739867
few_moving,126,5,204,22.244880806661612
few_moving,127,5,228,22.143406248114445
few_moving,128,5,204,22.055510132398762
few_moving,129,5,204,21.981147909096254
few_moving,130,5,216,21.91776204291965
few_moving,131,5,216,21.86443745508964
few_moving,132,5,204,21.8222528665612
few_moving,133,5,204,21.787020362018872
few_moving,134,5,204,21.759115804855814
few_moving,135,5,216,21.73972781139074
few_moving,136,5,228,21.725619855563245
few_moving,137,5,288,21.70523937483804
few_moving,138,5,276,21.700261359339322
few_moving,139,5,276,21.710656009229318
few_moving,140,5,288,21.712438389199317
few_moving,141,5,300,21.71262087415118
few_moving,142,5,252,21.71233993117713
few_moving,143,5,192,21.71265639860748
few_moving,144,5,216,21.713519694741198
few_moving,145,5,204,21.714920166567552
few_moving,146,5,216,21.71702792014464
few_moving,147,5,204,21.717302563082978
few_moving,148,5,192,21.71843586683644
few_moving,149,5,180,21.718359532741104
few_moving,150,5,180,21.719602956667288
few_moving,151,5,192,21.720989583091125
few_moving,152,5,192,21.724311030494206
few_moving,153,5,180,21.7264013549549
few_moving,154,5,168,21.72869855798326
few_moving,155,5,168,21.730283785856123
few_moving,156,5,168,21.735236917923622
few_moving,157,5,168,21.739777749215968
few_moving,158,5,132,21.74731103696291
few_moving,159,5,132,21.758804339491107
few_moving,160,5,144,21.771931132371844
few_moving,161,5,144,21.7890273508625
few_moving,162,5,108,21.80983077526854
few_moving,163,5,132,21.831412848265956
few_moving,164,5,120,21.85696585754958
few_moving,165,5,132,21.887355102139537
few_moving,166,5,132,21.92222128641746
few_moving,167,5,132,21.957787869446296
few_moving,168,5,132,21.98875621135763
few_moving,169,5,132,22.009575065564917
few_moving,170,5,144,22.032346273228747
