scenario,noise_sigma,time_s,baseline_tx_total,baseline_tx_per_node_per_min,baseline_rmse_aligned_m,baseline_mae_aligned_m,icum_tx_total,icum_tx_per_node_per_min,icum_rmse_aligned_m,icum_mae_aligned_m
many_moving,0.1,192,5155,161.09375,17.894325877823004,6.046882083585596,3068,95.875,17.765583686393224,6.263145542297297
many_moving,0.1,193,5165,160.56994818652848,17.893249526265546,6.007863074864914,3080,95.75129533678756,17.764599444261258,6.241197279173234
many_moving,0.1,194,5204,160.9484536082474,17.892934876455694,6.0001068250425975,3091,95.5979381443299,17.764053824763334,6.2256397169783195
many_moving,0.1,195,5213,160.39999999999998,17.89208020337877,5.975785152056803,3106,95.56923076923077,17.76271318705237,6.1812440380234905
many_moving,0.1,196,5251,160.74489795918367,17.89165417740577,5.95845060624592,3117,95.41836734693878,17.761999271062738,6.158835723417143
many_moving,0.1,197,5261,160.23350253807106,17.891481235699626,5.944834363401467,3123,95.11675126903555,17.760070310614964,6.117885807878572
many_moving,0.1,198,5300,160.60606060606062,17.89193295580583,5.9538628065552555,3123,94.63636363636364,17.758931896107708,6.095664564112829
many_moving,0.1,199,5310,160.1005025125628,17.891708199949516,5.948667817649916,3123,94.1608040201005,17.758280605212352,6.083750339351947
many_moving,0.1,200,5349,160.47,17.891553283719542,5.944424541233525,3125,93.75,17.75766629022372,6.065609450444301
many_moving,0.1,201,5357,159.91044776119404,17.890869261376952,5.9049190021471,3125,93.28358208955224,17.757312057060915,6.053492354299093
many_moving,0.1,202,5396,160.2772277227723,17.890352273614663,5.872652863934901,3129,92.94059405940594,17.757114885016286,6.044931796509775
many_moving,0.1,203,5406,159.7832512315271,17.88995596713411,5.842358229972384,3134,92.63054187192118,17.756455149613956,6.029521276586495
many_moving,0.1,204,5445,160.14705882352942,17.889553763871795,5.812116777753555,3138,92.29411764705883,17.755691556284475,6.0085711886541855
many_moving,0.1,205,5454,159.62926829268292,17.889687294249246,5.8295766286805035,3143,91.99024390243903,17.75522216604621,5.993522436386933
many_moving,0.1,206,5492,159.9611650485437,17.889785139843635,5.835651440527894,3152,91.80582524271846,17.75435369850265,5.959351402696707
many_moving,0.1,207,5502,159.47826086956522,17.88948992328126,5.80731818155594,3158,91.53623188405797,17.753921529640735,5.937247446380944
many_moving,0.1,208,5540,159.8076923076923,17.889352323439244,5.793289051294602,3163,91.24038461538461,17.753723223172443,5.9234559223316285
many_moving,0.1,209,5550,159.33014354066987,17.88913226074474,5.771112540353398,3163,90.80382775119618,17.75372159071508,5.919099889608995
many_moving,0.1,210,5588,159.65714285714284,17.88904120083328,5.755670873791769,3169,90.54285714285713,17.75333076438272,5.9037569883573005
many_moving,0.1,211,5597,159.1563981042654,17.88895491062694,5.747070322796221,3177,90.34123222748815,17.752912584959578,5.881813832810393
many_moving,0.1,212,5637,159.53773584905662,17.888900987470752,5.7425612117653175,3178,89.9433962264151,17.752142224194042,5.85757327373099
many_moving,0.1,213,5647,159.0704225352113,17.888863243726465,5.731663428441627,3178,89.52112676056339,17.751771436668598,5.848821120415179
many_moving,0.1,214,5684,159.3644859813084,17.888920548253626,5.741279826256113,3178,89.10280373831776,17.75163230399684,5.844537592178599
many_moving,0.1,215,5693,158.87441860465114,17.88884877262354,5.728363994373138,3180,88.74418604651163,17.751661475653066,5.846096939971533
many_moving,0.1,216,5730,159.16666666666666,17.88893095893659,5.741735949091999,3180,88.33333333333333,17.751764356257404,5.848864271626075
many_moving,0.1,217,5739,158.68202764976957,17.888985889238835,5.749486325624274,3187,88.11981566820276,17.751755477827796,5.84007011730267
many_moving,0.1,218,5778,159.0275229357798,17.889063177644474,5.75853270950345,3193,87.88073394495413,17.750913903518413,5.791052551104815
many_moving,0.1,219,5786,158.5205479452055,17.889082924460144,5.762360277730732,3199,87.64383561643835,17.75077745424807,5.776714769039204
many_moving,0.1,220,5825,158.86363636363637,17.88906051293612,5.766977797508284,3205,87.4090909090909,17.750675629924576,5.763072738212431
many_moving,0.1,221,5833,158.36199095022624,17.88904315202205,5.762374335002113,3215,87.28506787330318,17.750637618005783,5.7607953538146415
many_moving,0.1,222,5873,158.7297297297297,17.88933259896417,5.792429683832717,3227,87.21621621621621,17.750632767458566,5.76322684447854
many_moving,0.1,223,5882,158.26008968609867,17.889325238165195,5.7934136264753135,3240,87.17488789237667,17.75083320975367,5.78221337550763
many_moving,0.1,224,5919,158.54464285714286,17.889463970241685,5.804935805455406,3245,86.91964285714286,17.75092010197247,5.794248290181147
many_moving,0.1,225,5929,158.10666666666665,17.889213703160916,5.779490295081157,3255,86.8,17.75105708795188,5.8056308367572935
many_moving,0.1,226,5967,158.41592920353983,17.88924961593663,5.781125917963802,3267,86.73451327433628,17.75132089649264,5.820819312808995
many_moving,0.1,227,5977,157.98237885462558,17.88901425536355,5.757543878923339,3273,86.51101321585904,17.751282414694202,5.812596262035866
many_moving,0.1,228,6015,158.28947368421052,17.88903443319037,5.755695683148696,3278,86.26315789473685,17.75120270034572,5.8035106058072214
many_moving,0.1,229,6024,157.83406113537117,17.889091533612937,5.765742224632735,3281,85.9650655021834,17.751145824394175,5.7929782478244665
many_moving,0.1,230,6063,158.16521739130434,17.88947870803364,5.809489054929114,3285,85.69565217391305,17.751204318536523,5.789525237289191
many_moving,0.1,231,6072,157.71428571428572,17.88918638853542,5.776479475037441,3285,85.32467532467533,17.751285623218116,5.7890805372284255
many_moving,0.1,232,6112,158.0689655172414,17.88896675273912,5.746795490840926,3286,84.98275862068967,17.75137275344604,5.790439893673697
